,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,total_funded,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_TARGET,aum_P_CEF,aum_P_MF,aum_P_SMA,total_sales,new_sales,newly_funded
0,21,38,0,1,5,5,0,1,2,2,0,1,8,1,237480.11,0,0,284737.93,84.5,0,0,122866.04,114614.07,19932,18633.105,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19629,0,0,19629,0,0,0,19629,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758.7,0,0,1758.7,0,0,0,1758.7,0,0,0,0
3,20,0,2,0,1,0,1,0,1,0,1,0,1,1,57943,1,0,0,57943,0,0,57943,0,57943,93212,1
4,71,55,20,4,7,7,6,4,2,2,2,2,12,2,0,2,0,667083.625,0,0,9550,255611.95,0,1321186.555,467693.045,0
5,16,16,2,0,5,5,2,0,3,3,1,0,20,4,2649249.57,2,903032.68,141857.35,1540006.99,0,1797990.15,248705.42,129121.95,175442.49,106907.08,0
6,6,0,0,0,2,0,0,0,2,0,0,0,5,1,0,0,304861.37,0,0,0,0,0,0,9737.11,2971.72,0
7,5,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,3308.273421,0,0,0,3308.273421,0,10060.8,0,0
8,1,4,0,1,1,1,0,1,1,1,0,1,3,0,0,1,0,0,0,0,0,776160.105,0,981.87,10000,1
9,71,15,0,0,2,1,0,0,1,1,0,0,2,1,46290.81,1,46290.81,0,0,0,0,46290.81,0,19376.69,48709.05,2
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5685.57,0,0,0,0
11,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,153.55,930.45,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,71,280,40,11,6,9,2,3,4,4,2,2,9,3,0,1,332648.63,676647.195,830356.195,0,0,1461605.53,0,929415.1,926689.255,1
14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9044.59,0,0,0,0,0,0,0,0,0
15,8,0,0,0,2,0,0,0,1,0,0,0,1,1,12447,0,12447,0,0,0,0,12447,0,1667,489,0
16,7,11,0,0,2,2,0,0,2,2,0,0,0,0,0,1,0,0,9.17,0,0,0,0,5344.84,2524.96,1
17,32,9,0,0,3,2,0,0,1,1,0,0,4,3,247470.76,0,0,96081.98,80972.44,0,0,149714.57,90109.5,8756.19,847.74,0
18,0,17,0,0,0,2,0,0,0,1,0,0,3,1,78845.95,0,0,78845.95,0,0,0,78845.95,0,0,162026.76,0
19,2,10,0,0,1,2,0,0,1,2,0,0,1,1,236368.14,1,246878.97,0,0,0,0,0,252514,932.58,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,2,2,169564.875,0,5870.56,163694.315,0,0,0,169564.875,0,0,0,0
21,2,0,1,0,1,0,1,0,1,0,1,0,4,2,0,0,0,0,119447.5,0,119447.5,0,0,15000,863959.105,1
22,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.86,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.16,0,261.16,0,0,0,0,261.16,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95144.8,0,0,0,0
25,1,4,0,2,1,2,0,1,1,1,0,1,3,1,442292.465,0,0,451614.69,0,0,0,442292.465,0,9795.31,657946.06,0
26,1,1,1,0,1,1,1,0,1,1,1,0,1,1,16911.35,0,0,16911.35,0,0,0,16911.35,0,17000,0,0
27,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,93,18,16,2,8,4,4,2,2,2,1,2,14,3,1799352.58,2,121314.245,1672897.935,5140.4,0,0,636616.505,1162736.075,839034.23,663611.55,0
29,31,27,6,3,4,2,2,1,3,2,2,1,5,2,525746.48,0,0,165473.35,0,0,0,620349.59,0,165638.82,24192.47,0
30,11,9,0,2,1,2,0,1,1,2,0,1,4,0,0,0,0,0,0,0,0,471938.34,0,8945.65,437173,0
31,46,55,0,1,7,14,0,1,3,3,0,1,11,2,280976.565,2,213879.215,76738.015,0,0,0,182154.345,98822.22,41607.95,98589.905,0
32,48,164,4,4,5,5,1,2,3,2,1,1,5,1,0,1,0,0,12892.03,0,0,804680.0303,0,191486.1556,321001.5423,0
33,9,54,0,2,4,5,0,2,2,2,0,2,8,4,305862.3003,0,223045.5798,12482.2917,32117.18718,0,0,305862.3003,0,14121.32478,2134.93,0
34,11,0,0,0,1,0,0,0,1,0,0,0,0,0,1036.89,0,1036.89,0,0,0,0,1036.89,0,964.89,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18263.03,0,0,0,0,0,0,18263.03,0,0,309777,4
36,3,2,0,0,2,1,0,0,1,1,0,0,1,1,8281.115,1,8281.115,0,0,0,0,8281.115,0,1229.445,7160.94,0
37,4,3,4,3,2,2,2,2,1,1,1,1,5,1,0,1,0,144835.58,0,0,0,67582.605,0,290006.02,142841.425,1
38,14,11,2,3,1,1,1,1,1,1,1,1,1,1,149550.7237,0,164435.09,1679.088741,0,0,0,149550.7237,0,54904.67,59803.48,1
39,89,67,30,6,6,4,3,1,3,3,2,1,18,4,3350949.048,0,48764.47973,2224043.366,625508.468,0,1140213.8,2210735.248,0,1837428.71,1627109.403,0
40,1,5,1,4,1,4,1,3,1,2,1,1,1,1,7077.27,0,0,8154.53,0,0,0,7077.27,0,25000,60113.85,0
41,2,26,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3692.95,6798.62,1
42,1,6,1,1,1,4,1,1,1,3,1,1,4,0,0,0,0,0,0,0,0,0,5211.82,11000,0,0
43,30,39,0,1,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20898.39,15722.65,0
44,21,15,9,8,4,5,4,4,2,3,2,3,7,3,1236999.01,2,22267.33,1216050.36,52550.27,0,0,1236999.01,0,232412.33,306502,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424225.175,4
46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45198.39,0,0,0,130678.98,0,0,45198.39,0,0,0,0
47,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,296325.55,0,25000,0,0,0,299879,0,0,0
49,65,0,0,0,5,0,0,0,1,0,0,0,3,1,45946.6,2,0,0,30.18,45916.42,0,0,0,8661.25,10244.99,0
50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61450.76,0,61450.76,0,0,0,0,0,61450.76,0,0,0
51,808,404,15,23,8,9,5,5,3,3,3,3,13,3,1528253.361,0,0,1628977.199,478675.4445,0,0,680675.1429,847578.2182,1087803.269,546133.0679,0
52,6,9,0,1,2,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8059.04,876.84,0
53,0,0,0,0,0,0,0,0,0,0,0,0,4,1,598049.48,0,0,615077.97,0,0,0,598049.48,0,0,5666.93,1
54,4,23,0,0,2,1,0,0,1,1,0,0,1,0,0,2,2632.64,0,0,0,0,0,0,3414.71,8990.06,0
55,239,139,64,20,4,7,3,3,2,3,2,2,4,3,24807789.67,1,24638697.09,33931.825,0,0,0,423486.665,24384303,5311983.295,2287823.94,0
56,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18100,0
57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,87938.03,0,0,87938.03,0,0,0,87938.03,0,0,0,0
58,4,4,0,0,4,1,0,0,3,1,0,0,2,2,17928.285,4,8287.575,9710.055,0,0,0,17928.285,0,19623.085,116809.06,1
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,134,110,0,6,8,10,0,4,3,3,0,2,19,4,1739062.326,1,410691.7742,755158.9322,565004.1069,8207.5125,82223.59875,946409.2683,470647.8885,332661.5134,1299653.676,2
61,19,26,2,6,3,2,2,1,3,1,2,1,6,2,2487216.19,1,0,2364137.985,129252.695,0,0,475195.585,2012020.605,185153.905,135052.5,0
62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,187881.29,0,191035.08,0,0,0,0,0,187881.29,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11738,1
64,374,252,105,19,1,5,1,4,1,3,1,2,5,2,8649718.56,0,9398288.146,0,484528.0865,0,0,8603310.7,46407.86,5166571.5,3767105.5,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.78,0,0,0,344.78,0,0,344.78,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1887132.11,0,2168735.94,0,0,0,0,0,0,0,0,0
67,187,13,57,1,2,5,1,1,1,3,1,1,5,2,1815439.347,1,41919.31832,1776733.991,0,0,0,1778165.055,37274.2922,1795396.952,1651722.078,1
68,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1729303.67,0,264234.17,891607.5,430512,0,1465069.5,0,290515.09,0,0,0
69,2,2,1,0,2,2,1,0,2,2,1,0,4,2,218167.21,2,81841.295,184328.425,0,0,0,0,290271.99,269356.325,138146.49,1
70,90,159,37,11,3,5,2,3,2,2,1,2,4,2,16383696.18,0,1122.28,16348143.45,34430.455,0,0,0,16399548.33,5207362.12,1368214.89,0
71,5,6,0,0,2,2,0,0,2,2,0,0,0,0,0,2,0,0,1.28,0,0,0,0,2281.87,581.61,1
72,1,0,1,0,1,0,1,0,1,0,1,0,1,1,132091,1,0,132091,0,0,0,0,132091,132091,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23211.25,0,0,1693.47,64020,0,64020,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,3,2,489193.46,0,312078.13,177115.33,0,0,0,489193.46,0,0,0,0
75,6,3,1,0,3,3,1,0,2,2,1,0,4,2,195975.8064,0,32501.43859,172600.2793,0,0,0,205101.7178,0,35952.54525,47536.27,1
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212.94,0,0,0,0,3212.94,0,0,0,0
